year,young_job_creation,total_job_creation,young_jc_share,young_emp,total_emp,young_emp_share,young_firms,total_firms
1978,3359411.0,14266083.0,0.2354823675146149,4897991.0,70255157.0,0.06971717392931027,843364.0,3560318.0
1979,3804014.0,13711996.0,0.2774223388046496,7184136.0,74714428.0,0.09615460082221335,1144814.0,3692635.0
1980,3818548.0,11798401.0,0.3236496199781648,8790180.0,75065997.0,0.11709935724959465,1361018.0,3739767.0
1981,4411781.0,12157858.0,0.3628748583837712,10706907.0,75788714.0,0.14127310565000484,1545870.0,3768498.0
1982,4542410.0,11867385.0,0.3827641894149385,12070964.0,74973839.0,0.16100234643180003,1678309.0,3741859.0
1983,4603358.0,12197645.0,0.37739727627751096,11905701.0,74041185.0,0.16079835837311357,1690823.0,3830757.0
1984,5431017.0,14795720.0,0.3670667598467665,13033648.0,78673113.0,0.1656683904194817,1782119.0,4001390.0
1985,5718657.0,14922822.0,0.3832155204960563,13943916.0,81575122.0,0.17093343728005703,1823341.0,4073155.0
1986,5756598.0,15233849.0,0.37788204412423937,14633742.0,83920060.0,0.17437716321937807,1877292.0,4158219.0
1987,6459650.0,16341367.0,0.3952943471620214,15491802.0,85886119.0,0.18037608615194267,1920280.0,4223952.0
1988,6015595.0,16404663.0,0.36670030954003746,16145624.0,88402522.0,0.18263759488671602,1960832.0,4308236.0
1989,6127686.0,16289077.0,0.37618374570885754,16779755.0,91353052.0,0.183680289083281,1989249.0,4382013.0
1990,5920960.0,15513031.0,0.3816765401938538,16852344.0,93686600.0,0.17987998283639284,1963288.0,4445528.0
1991,5113860.0,13993617.0,0.3654423298851183,15459365.0,91458374.0,0.16903170616175617,1888756.0,4412581.0
1992,5198510.0,14689088.0,0.35390284270881894,14626100.0,91438756.0,0.1599551507459266,1824660.0,4413841.0
1993,5200636.0,14937289.0,0.34816465022535215,14306811.0,93102312.0,0.1536676232057481,1831505.0,4495611.0
1994,5286368.0,15303784.0,0.3454288168207288,14222627.0,95649868.0,0.14869468507787173,1842702.0,4575281.0
1995,5461104.0,16048451.0,0.34028854248924084,14556596.0,99016306.0,0.14701210929844222,1876111.0,4674006.0
1996,5401595.0,15755415.0,0.3428405408553186,14693438.0,100042597.0,0.14687181701210736,1893530.0,4721540.0
1997,5761420.0,18198636.0,0.3165852649616158,15374755.0,103096440.0,0.1491298341630419,1914717.0,4776424.0
1998,5730043.0,17985709.0,0.3185886639220061,15797167.0,107689077.0,0.14669237995233259,1934223.0,4853548.0
1999,5418122.0,17687680.0,0.3063218013894417,15761698.0,109812340.0,0.14353303098722786,1923046.0,4883018.0
2000,5699907.0,18686979.0,0.3050202496615424,16067879.0,113593164.0,0.1414511088008782,1898814.0,4902719.0
2001,5305056.0,17776398.0,0.2984325620972258,15465879.0,113773080.0,0.13593618982627526,1858081.0,4912908.0
2002,5615864.0,18543655.0,0.30284558249169324,14950418.0,111799219.0,0.13372560321731763,1833638.0,4929332.0
2003,5176134.0,17687221.0,0.29264823456437844,14717019.0,112460517.0,0.13086387465211458,1834524.0,4991927.0
2004,5266172.0,17250908.0,0.305269264667112,14881553.0,114138584.0,0.13038144051270165,1878865.0,5084924.0
2005,5471194.0,17015188.0,0.32154766670811985,15217626.0,115422186.0,0.1318431622842423,1935207.0,5166062.0
2006,5775777.0,18710408.0,0.30869326847388895,15962855.0,119253652.0,0.13385631997249023,2010575.0,5254916.0
2007,5256270.0,18292883.0,0.287339617270826,15593851.0,119771704.0,0.13019645274479855,2031289.0,5291526.0
2008,4855044.0,16961591.0,0.2862375351463197,14645701.0,119550548.0,0.12250634769152208,1967975.0,5230315.0
2009,4078690.0,13386939.0,0.30467681969716903,13231249.0,113657795.0,0.11641303616703104,1835488.0,5088072.0
2010,4113193.0,13412537.0,0.3066677840292258,12589487.0,111274422.0,0.11313909138975352,1736225.0,5016353.0
2011,4068537.0,14736184.0,0.2760916258917505,12256129.0,112845202.0,0.10861010289121553,1683150.0,4993099.0
2012,4349253.0,15745812.0,0.27621649490035827,12436716.0,115314012.0,0.10785086551320407,1664537.0,5039673.0
2013,4147632.0,15528153.0,0.2671040142378813,12470546.0,117558012.0,0.10607993268889236,1647936.0,5064208.0
2014,4342195.0,15590426.0,0.2785167640704622,12784394.0,120072493.0,0.10647229586546521,1642396.0,5100719.0
2015,4448934.0,16296253.0,0.27300349350246345,13173889.0,123177478.0,0.10695046865629121,1676985.0,5146908.0
2016,4484931.0,16050025.0,0.27943451801476943,13336183.0,125689404.0,0.1061042743109833,1735258.0,5212130.0
2017,4586179.0,17127221.0,0.2677713448083609,13520956.0,127427446.0,0.1061070940713981,1766282.0,5246978.0
2018,4618926.0,16463740.0,0.2805514421389065,13668802.0,129626237.0,0.10544780374979179,1789343.0,5281916.0
2019,4630279.0,15821813.0,0.292651606993459,13989836.0,131831587.0,0.10611899862815123,1828184.0,5330349.0
2020,4536021.0,15832895.0,0.28649346818759297,13932408.0,132680862.0,0.10500691501386236,1844686.0,5335214.0
2021,4440170.0,15089922.0,0.2942473791448359,13377736.0,127222136.0,0.10515258130864899,1908034.0,5391471.0
2022,5588196.0,21676665.0,0.25779777470381166,14663957.0,134143137.0,0.10931574531464848,1997182.0,5541603.0
2023,4897739.0,18468049.0,0.2652006717114515,14733404.0,137462444.0,0.10718130400766045,2024855.0,5593727.0
