year,total_ipp,software,rd,entertainment,software_share,rd_share,entertainment_share
1960,7.142,0.127,4.867,2.149,0.017782133856062726,0.6814617754130495,0.3008961075329039
1961,7.979,0.167,5.16,2.653,0.02092994109537536,0.6466975811505201,0.3324978067426996
1962,8.399,0.221,5.591,2.587,0.026312656268603407,0.6656744850577451,0.3080128586736517
1963,9.243,0.433,5.987,2.823,0.04684626203613545,0.6477334198853186,0.3054203180785459
1964,9.808,0.541,6.485,2.782,0.055159053833605226,0.6611949429037521,0.2836460032626427
1965,11.135,0.677,7.218,3.239,0.060799281544678944,0.6482263134261338,0.29088459811405476
1966,12.802,1.011,8.084,3.707,0.07897203561943446,0.6314638337759725,0.289564130604593
1967,14.003,1.172,8.987,3.844,0.08369635078197528,0.6417910447761194,0.2745126044419053
1968,15.582,1.318,9.925,4.339,0.08458477730714928,0.6369528943652933,0.27846232832755746
1969,17.152,1.79,10.982,4.38,0.10436100746268656,0.6402751865671641,0.25536380597014924
1970,17.947,2.321,11.478,4.148,0.12932523541538976,0.6395497854794673,0.2311249791051429
1971,18.678,2.41,11.912,4.356,0.12902880394046473,0.6377556483563551,0.2332155477031802
1972,20.577,2.778,12.898,4.901,0.1350051027846625,0.6268163483500996,0.23817854886523784
1973,22.681,3.22,14.601,4.861,0.1419690489837309,0.6437546845377188,0.21432035624531545
1974,25.517,3.912,16.39,5.214,0.15330955833365992,0.6423168867813615,0.20433436532507743
1975,27.811,4.78,17.513,5.518,0.17187443817194636,0.6297148610262127,0.19841070080184098
1976,32.189,5.204,19.598,7.387,0.16167013576066358,0.6088415297151201,0.22948833452421633
1977,35.817,5.476,21.757,8.584,0.15288829326855963,0.6074489767428874,0.2396627299885529
1978,40.358,6.345,24.941,9.072,0.15721789979681847,0.6179939541107091,0.22478814609247236
1979,48.068,8.135,29.054,10.879,0.1692394108346509,0.6044353832071232,0.22632520595822586
1980,54.354,9.836,34.177,10.341,0.18096184273466534,0.6287853699819701,0.1902527872833646
1981,64.773,11.845,39.682,13.245,0.18286940546215247,0.6126318064625693,0.20448334954379138
1982,72.674,14.04,44.776,13.858,0.1931915127831136,0.6161213088587391,0.19068717835814733
1983,81.343,16.384,49.614,15.345,0.20141868384495284,0.6099357043630059,0.18864561179204112
1984,95.048,20.362,56.888,17.798,0.2142286002861712,0.5985186432118508,0.18725275650197792
1985,105.327,23.762,63.003,18.561,0.22560217228251067,0.5981657124953715,0.17622262098037542
1986,113.543,25.614,66.549,21.38,0.22558854354737853,0.5861127502355936,0.18829870621702788
1987,120.116,28.995,69.242,21.88,0.24139165473375737,0.5764594225581938,0.18215724799360616
1988,132.674,33.331,76.35,22.993,0.2512248066689781,0.575470702624478,0.17330449070654383
1989,150.117,40.595,84.112,25.41,0.27042240385832383,0.5603096251590426,0.16926797098263355
1990,164.426,45.407,91.475,27.543,0.27615462274822716,0.5563292909880433,0.1675100045005048
1991,179.129,48.708,101.024,29.397,0.2719157701991302,0.5639734493018997,0.16411078049897002
1992,187.667,51.054,105.416,31.197,0.2720456979650125,0.5617183628448262,0.1662359391901613
1993,196.912,57.19,106.325,33.397,0.29043430567969447,0.5399620134882587,0.1696036808320468
1994,205.705,60.394,109.207,36.104,0.29359519700542036,0.5308913249556403,0.17551347803893924
1995,226.849,65.477,121.188,40.184,0.28863693470105667,0.5342232057447907,0.17713985955415276
1996,253.303,74.523,134.505,44.275,0.29420496401542817,0.5310043702601233,0.17479066572444857
1997,287.964,93.754,148.111,46.099,0.32557541914961596,0.5143385978802906,0.16008598297009347
1998,318.126,109.228,160.555,48.343,0.34334823309003354,0.5046899656111101,0.15196180129885645
1999,365.127,136.644,177.474,51.009,0.37423690934934967,0.48606101438677496,0.13970207626387532
2000,411.339,156.805,198.979,55.554,0.3812062556674665,0.4837348269918486,0.13505648625586195
2001,415.04,157.653,202.698,54.688,0.379850134926754,0.4883818427139553,0.13176561295296838
2002,406.222,152.522,196.089,57.611,0.37546464740954455,0.4827138855108783,0.14182146707957718
2003,418.656,154.983,201.009,62.664,0.37019175647787206,0.48012927080944734,0.14967897271268057
2004,437.819,166.268,207.439,64.112,0.3797642404738031,0.473800817232692,0.14643494229350484
2005,473.134,178.634,224.665,69.835,0.377554773066404,0.4748443358541132,0.14760089107948274
2006,506.332,189.544,245.591,71.197,0.37434726622058256,0.48503946027507644,0.14061327350434102
2007,544.828,206.39,268.028,70.41,0.37881680089863223,0.4919497529495548,0.12923344615181304
2008,574.384,223.833,284.161,66.39,0.3896922616228864,0.49472304242458004,0.1155846959525335
2009,564.354,226.045,274.615,63.693,0.40053760582896547,0.48660060883771533,0.11286001339584728
2010,578.17,226.384,282.427,69.359,0.3915526575228739,0.4884843558123044,0.11996298666482176
2011,621.733,249.756,303.397,68.58,0.4017094154564741,0.4879860004214028,0.11030458412212317
2012,655.691,272.061,313.449,70.181,0.41492257786060804,0.4780437736677795,0.10703364847161238
2013,694.599,285.584,338.696,70.318,0.4111494545773892,0.48761371669121323,0.10123538905181262
2014,741.461,303.652,364.41,73.4,0.40953199156799885,0.49147561368703147,0.09899374343357237
2015,778.879,316.26,385.339,77.281,0.40604509814746576,0.4947353825176953,0.09922080323131065
2016,843.007,347.91,413.167,81.93,0.41270119939692085,0.4901109955196102,0.09718780508346907
2017,906.246,382.945,437.476,85.825,0.422561865100646,0.4827342686202201,0.09470386627913392
2018,992.217,422.777,479.549,89.891,0.4260932840296024,0.48331060645000035,0.09059610952039726
2019,1074.887,447.351,535.61,91.925,0.4161842128521417,0.4982942393014336,0.08552061751607379
2020,1136.206,478.199,568.695,89.312,0.4208735035724156,0.5005210322775976,0.07860546414998688
2021,1263.051,533.132,639.295,90.624,0.4220985534234168,0.5061513747267529,0.07175007184983029
2022,1423.69,601.031,719.989,102.671,0.4221642351916498,0.5057203464237299,0.07211612078472139
2023,1524.507,644.612,769.428,110.466,0.42283308636824884,0.5047061115495042,0.07246014613248741
2024,1603.882,692.996,796.45,114.436,0.4320741800207247,0.4965764314332351,0.07134938854604017
2025,1714.466,754.773,844.093,115.6,0.4402379516420857,0.4923358060177338,0.06742624234018056
