,importance_2005,importance_2024,total_change,pct_change
Providing Consultation and Advice to Others,2.6892198471543485,2.829524360833251,0.1403045136789025,5.217294295494975
Interpreting the Meaning of Information for Others,3.0319739592119133,3.157070909515377,0.12509695030346357,4.125924298372913
Developing and Building Teams,2.999861600162567,3.110804717313185,0.11094311715061833,3.6982745185513277
Staffing Organizational Units,2.168589750521708,2.279297393547181,0.11070764302547298,5.105052396325284
"Guiding, Directing, and Motivating Subordinates",2.786106201147554,2.8959675890315357,0.10986138788398181,3.943187371634707
Analyzing Data or Information,3.1484208047120634,3.2550663280855305,0.10664552337346711,3.3872703170382046
Coaching and Developing Others,2.9977946105957693,3.0979650429075734,0.100170432311804,3.3414708251775975
Training and Teaching Others,3.2059010343787326,3.3029947512384417,0.09709371685970902,3.0285937032527483
Developing Objectives and Strategies,2.9227469805553326,3.016465649157791,0.09371866860245825,3.206526915465374
Making Decisions and Solving Problems,3.763162204276955,3.8543244821047735,0.09116227782781872,2.4224913219050155
Thinking Creatively,3.14291914926823,3.2326356986025693,0.08971654933433948,2.854561160290372
Monitoring and Controlling Resources,2.5710716628740347,2.659968124981763,0.08889646210772817,3.4575645397746935
Documenting/Recording Information,3.404066560159312,3.491589934043652,0.08752337388433995,2.571141672395613
Coordinating the Work and Activities of Others,3.0970244200791774,3.1799713702804553,0.08294695020127785,2.678278855778517
Working with Computers,3.4798831981509886,3.562017727460045,0.08213452930905651,2.360266843229052
Assisting and Caring for Others,2.9783921328411394,3.057958069558844,0.07956593671770484,2.6714392587991944
Updating and Using Relevant Knowledge,3.532884913010692,3.611436926809725,0.07855201379903276,2.223452383341054
Resolving Conflicts and Negotiating with Others,3.1391655556383764,3.2120041996183413,0.07283864397996487,2.3203186543996246
"Organizing, Planning, and Prioritizing Work",3.6075615770564933,3.67611869383848,0.0685571167819865,1.9003727398029364
Evaluating Information to Determine Compliance with Standards,3.398041514170524,3.4630714507506544,0.06502993658013034,1.9137475604386316
"Judging the Qualities of Objects, Services, or People",3.1558391459729407,3.219045441518606,0.06320629554566537,2.0028364128229024
"Communicating with Supervisors, Peers, or Subordinates",3.960657809133401,4.023421160474514,0.06276335134111255,1.584669879745185
Processing Information,3.4502548752958515,3.511558189697918,0.06130331440206671,1.7767764011002256
Establishing and Maintaining Interpersonal Relationships,3.633141592898315,3.694405381652683,0.06126378875436789,1.6862483112169349
Selling or Influencing Others,2.6036728943049714,2.6600762886717835,0.056403394366812076,2.166301092974603
Communicating with People Outside the Organization,3.199876313072552,3.2540324572390684,0.05415614416651637,1.6924449218637179
Scheduling Work and Activities,3.0865915107807784,3.13988394360955,0.053292432828771386,1.726578740420712
"Identifying Objects, Actions, and Events",3.709791127507864,3.7566773123667794,0.04688618485891549,1.2638497221921048
"Estimating the Quantifiable Characteristics of Products, Events, or Information",2.8726570303160797,2.90762170459461,0.03496467427853034,1.217154498763229
Getting Information,4.1431216071053205,4.177034370027475,0.03391276292215473,0.8185316806534335
Performing for or Working Directly with the Public,3.1530106473504085,3.186261425724853,0.03325077837444468,1.0545723466676693
"Monitoring Processes, Materials, or Surroundings",3.513259475759142,3.5426186256619387,0.029359149902796755,0.8356669954317238
Performing Administrative Activities,2.8750166925868403,2.884188393601158,0.009171701014317524,0.319013835222819
Repairing and Maintaining Electronic Equipment,1.976959711612379,1.9815344840834586,0.0045747724710796245,0.23140443602406588
"Inspecting Equipment, Structures, or Materials",3.0553651317572714,3.0505186261246973,-0.004846505632574161,-0.15862279706604912
"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment",1.8773995888210204,1.8680248494406708,-0.009374739380349606,-0.49934704557151866
Repairing and Maintaining Mechanical Equipment,2.083062982616481,2.0478705796655317,-0.035192402950949386,-1.6894545793687492
Controlling Machines and Processes,2.664516001031068,2.6254981888831144,-0.039017812147953634,-1.4643489524121904
Performing General Physical Activities,2.960114835648716,2.9197478522368323,-0.040366983411883606,-1.3636965338554878
"Operating Vehicles, Mechanized Devices, or Equipment",2.3779562723304553,2.32305572101265,-0.054900551317805135,-2.308728379769627
Handling and Moving Objects,2.9779587959291893,2.8923665729720542,-0.08559222295713509,-2.8741909751786343
