GWA,corr_2005,corr_2024,corr_change
Assisting and Caring for Others,-0.18302438478476574,-0.13889472685488133,0.04412965792988441
Performing General Physical Activities,-0.4478959918572994,-0.42776214858495754,0.020133843272341856
Developing and Building Teams,0.32004209811979034,0.3342422136819057,0.014200115562115367
Getting Information,0.5197203702394798,0.5284656677897663,0.008745297550286524
Processing Information,0.5183998811820932,0.5268091314301089,0.008409250248015643
Evaluating Information to Determine Compliance with Standards,0.35367531503817656,0.36156429609678875,0.007888981058612188
Handling and Moving Objects,-0.48235403498666096,-0.4755264134557438,0.0068276215309171495
"Identifying Objects, Actions, and Events",0.3813860288745418,0.387281727088712,0.005895698214170186
Making Decisions and Solving Problems,0.5880244892452832,0.5936424398227768,0.005617950577493591
Updating and Using Relevant Knowledge,0.6088051222682261,0.612212999572178,0.0034078773039518673
Controlling Machines and Processes,-0.28476577566882116,-0.2863809419959757,-0.001615166327154527
"Estimating the Quantifiable Characteristics of Products, Events, or Information",0.26292502049442057,0.2611686907243776,-0.0017563297700429747
Repairing and Maintaining Electronic Equipment,-0.11189570026777544,-0.11406883660068726,-0.0021731363329118153
"Inspecting Equipment, Structures, or Materials",-0.20678943446774198,-0.209083993569857,-0.0022945591021150125
Analyzing Data or Information,0.6705328637347083,0.6671650683384115,-0.0033677953962968354
Developing Objectives and Strategies,0.5353471343605304,0.5313844727718949,-0.003962661588635452
Establishing and Maintaining Interpersonal Relationships,0.3383771833030443,0.3319923811374049,-0.006384802165639358
"Communicating with Supervisors, Peers, or Subordinates",0.39432427464657493,0.38725976209178775,-0.007064512554787183
Staffing Organizational Units,0.25330218666787885,0.24538687332320733,-0.00791531334467152
"Monitoring Processes, Materials, or Surroundings",0.10387189642132805,0.09542855313611796,-0.008443343285210084
Documenting/Recording Information,0.4249668788453082,0.4158917652820397,-0.009075113563268511
Providing Consultation and Advice to Others,0.5379517920148559,0.5273810569424866,-0.010570735072369275
Interpreting the Meaning of Information for Others,0.6218311570857306,0.6111159558724735,-0.010715201213257086
Repairing and Maintaining Mechanical Equipment,-0.26802759670833987,-0.2788441333606627,-0.01081653665232285
Thinking Creatively,0.4807140033048474,0.4673455123428948,-0.01336849096195264
Coordinating the Work and Activities of Others,0.31768924402493454,0.3030699196820497,-0.01461932434288482
"Guiding, Directing, and Motivating Subordinates",0.36022031654524006,0.3438543600338605,-0.016365956511379565
Selling or Influencing Others,0.13783151849051045,0.12024266889830336,-0.017588849592207093
"Judging the Qualities of Objects, Services, or People",0.25888516516827187,0.23992465179847208,-0.018960513369799786
Working with Computers,0.5306327083990884,0.5113985826093996,-0.01923412578968875
Monitoring and Controlling Resources,0.18835929643442503,0.16828835699085004,-0.020070939443574992
Resolving Conflicts and Negotiating with Others,0.13319798329376245,0.11178767240479448,-0.02141031088896797
"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment",0.06899223892119459,0.047220256514961784,-0.021771982406232807
"Organizing, Planning, and Prioritizing Work",0.4888345402013595,0.4644573444631483,-0.024377195738211233
"Operating Vehicles, Mechanized Devices, or Equipment",-0.21296859032356677,-0.24204315937682694,-0.02907456905326017
Performing for or Working Directly with the Public,-0.08349277460895789,-0.11314496943514242,-0.02965219482618453
Communicating with People Outside the Organization,0.4330379573069585,0.40108891298486077,-0.03194904432209772
Coaching and Developing Others,0.3460540177364203,0.31335420801237884,-0.03269980972404146
Scheduling Work and Activities,0.4067860991448171,0.37299906359633545,-0.03378703554848167
Performing Administrative Activities,0.30714797429798,0.26416430599591245,-0.04298366830206757
Training and Teaching Others,0.329323398271723,0.28322826939958745,-0.04609512887213557
