,corr_2005,corr_2024,corr_change
Installation,-0.060434908950180964,-0.04007748786078821,0.02035742108939275
Equipment Selection,-0.14646112535445843,-0.12983064805384115,0.016630477300617286
Troubleshooting,-0.15695940059563343,-0.14174391240596762,0.01521548818966581
Operations Monitoring,-0.10402839571087152,-0.09269283262804336,0.011335563082828168
Repairing,-0.19120515306681926,-0.18465355512961984,0.0065515979371994215
Quality Control Analysis,-0.020775752395738208,-0.015947712045476885,0.004828040350261322
Equipment Maintenance,-0.206868679715339,-0.20489844264858537,0.001970237066753644
Operations Analysis,0.6126314455846935,0.6116608272573278,-0.0009706183273656688
Operation and Control,-0.22295104584221961,-0.22487021865150622,-0.0019191728092866067
Technology Design,0.40282079669939636,0.39575694313087517,-0.007063853568521183
Judgment and Decision Making,0.7590935761752442,0.751170998033261,-0.007922578141983161
Coordination,0.47223783906031197,0.4637617185724162,-0.008476120487895755
Systems Evaluation,0.7435577863091509,0.7350771540487714,-0.00848063226037954
Critical Thinking,0.7811614090027689,0.7721389371477789,-0.009022471854989944
Science,0.5769974329586088,0.5678398190946946,-0.009157613863914227
Systems Analysis,0.7525519557282812,0.741332374321221,-0.011219581407060142
Management of Personnel Resources,0.5887884651671375,0.5759698542928222,-0.01281861087431524
Management of Financial Resources,0.4263747364323495,0.41263618359869647,-0.01373855283365305
Complex Problem Solving,0.7782724643799316,0.7643563475562402,-0.013916116823691427
Mathematics,0.5402778814097556,0.5246696414115575,-0.015608239998198159
Monitoring,0.5421761466718126,0.525930568421157,-0.016245578250655535
Social Perceptiveness,0.38500233229934033,0.3678083553938521,-0.01719397690548824
Service Orientation,0.17886014974762612,0.15991875725243077,-0.01894139249519536
Active Learning,0.7376807778634549,0.7184995169883482,-0.01918126087510663
Reading Comprehension,0.7076824201602007,0.6879273037981135,-0.019755116362087155
Active Listening,0.5820858021786912,0.5594215374616586,-0.022664264717032645
Learning Strategies,0.6499973056757339,0.6220063278105982,-0.027990977865135713
Writing,0.7075074081517639,0.6786947689844233,-0.02881263916734067
Time Management,0.5616389850841839,0.5318703324605352,-0.029768652623648695
Persuasion,0.504263792901646,0.47434833188646724,-0.02991546101517878
Programming,0.5623374483233866,0.5319019311940462,-0.03043551712934045
Management of Material Resources,0.3339598517860093,0.3034821527541632,-0.030477699031846106
Negotiation,0.49198808584820164,0.4601075927082309,-0.03188049313997077
Instructing,0.6091770342233556,0.5767952797799939,-0.032381754443361666
Speaking,0.5755281145827104,0.5368281374339106,-0.0386999771487998
